numero;sigle;libelle;groupe_disciplinaire;toutes_les_disciplines;discipline_principale;localisation;liste_tous_etablissements;laboratoires_rattaches;annee_de_creation;annee_accreditation;duree_accreditation;code_etablissement_support;etablissement_support;code_etablissements_coaccredites;etablissements_coaccredites;codes_etablissements_associes;etablissements_associes;liste_codes_tous_etablissements;disciplines_secondaires;identifiants_des_laboratoires;civilite_du_directeur;prenom_du_directeur;nom_du_directeur;telephone;mail;site_web;adresse_postale;code_postal;code_commune;libelle_commune;code_unite_urbaine;libelle_unite_urbaine;code_departement;libelle_departement;code_academie;libelle_academie;code_region;libelle_region;ville;coordonnees_geographiques;url_structures_de_recherche_actives;code_region_avant2016;libelle_region_avant2016
7;;Ecole doctorale Georges Vedel (Droit public interne, science administrative et science politique);Sciences humaines et sociales;Sciences de la société;Sciences de la société;Île-de-France>Paris>Paris  5e  Arrondissement;Université Panthéon-Assas;"EA 1477;EA 162;EA 2293;EA 3128;EA 3385;UMR 7106";1992;2014;5.0;0751718K;Université Panthéon-Assas;;;;;0751718K;;"199213469E;199213029B;199713846T;199914437B;200114662M;200112493E";Monsieur;Bertrand;SEILLER;01 44 41 47 20;claire.ruiz@u-paris2.fr;http://www.u-paris2.fr/1179328567358/0/fiche___defaultstructureksup/;Université Paris 2, Ecole doctorale Georges VEDEL 12 Place du Panthéon;75231;75105;Paris  5e  Arrondissement;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;PARIS CEDEX 05;48.8468057, 2.3448603;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=7;R11;Île-de-France
37;SPIM;Sciences physiques pour l'ingénieur et microtechniques;Sciences exactes;"Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication";Sciences pour l'ingénieur;Franche-Comté>Besançon>Doubs>Besançon;"Université de Franche-Comté;Université de Bourgogne;Université de technologie de Belfort-Montbéliard (UTBM);École nat. sup. de mécanique et des microtechniques";"EA 1859;EA 4269;EA 7274;UMR 6306";1991;2012;5.0;0251215K;Université de Franche-Comté;"0211237F;0900424X";"Université de Bourgogne;Université de technologie de Belfort-Montbéliard (UTBM)";0250082D;École nat. sup. de mécanique et des microtechniques;"0251215K;0211237F;0900424X;0250082D";Sciences et technologies de l'information et de la communication;"199513612X;200815506Z;201221518S;200117265S";Monsieur;Philippe;LUTZ;03 81 66 66 02;philippe.lutz@ens2m.fr,ed-spim@univ-fcomte.fr;http://ed-spim.univ-fcomte.fr;UNIVERSITE DE FRANCHE-COMTE Maison de l'Université 1, rue Goudimel;25030;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne - Franche-Comté;BESANÇON CEDEX;47.2441208, 5.9856888;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=37;R43;Franche-Comté
70;EDSPI;Sciences pour l'ingénieur;Sciences exactes;"Sciences pour l'ingénieur;Sciences et technologies de l'information et de la communication";Sciences pour l'ingénieur;Auvergne>Clermont-Ferrand>Puy-de-Dôme>Clermont-Ferrand>Aubière;"Université Blaise Pascal Celrmont-Ferrand 2;Université d'Auvergne;Institut français de mécanique avancée";"EA 4646;UMR 6158;UMR 6284;UMR 6296;UMR 6602";1992;2012;5.0;0631525R;Université Blaise Pascal Celrmont-Ferrand 2;;;"0631262E;0631833A";"Université d'Auvergne;Institut français de mécanique avancée";"0631525R;0631262E;0631833A";Sciences et technologies de l'information et de la communication;"201220064L;200212221E;201220298R;201220211W;199412376H";Madame;Françoise;PALADIAN;04 73 40 76 09;Francoise.Paladian@lasmea.univ-bpclermont.fr,Aurelie.BRISARD@univ-bpclermont.fr;http://edspi.univ-bpclermont.fr;ED SCIENCES POUR L'INGENIEUR Campus des Cézeaux Bâtiment CRRI 7 avenue Blaise Pascal CS60026;63178;63014;Aubière;UU63701;Clermont-Ferrand;D063;Puy-de-Dôme;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;AUBIERE CEDEX;45.7609667, 3.1127513;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=70;R83;Auvergne
79;SJPEG;Sciences Juridiques, Politiques, Economiques et de Gestion;Sciences humaines et sociales;Sciences de la société;Sciences de la société;Lorraine>Nancy-Metz>Meurthe-et-Moselle>Nancy;Université de Lorraine;"EA 3942;EA 7301;EA 7303;UMR 7522";1992;2013;5.0;0542493S;Université de Lorraine;;;;;0542493S;;"200515200E;201320862Z;201320868F;199712586Y";Madame;Myriam;DORIAT-DUBAN;03 72 74 19 61;ed-sjpeg-contact@univ-lorraine.fr;http://sjpeg.univ-lorraine.fr/;Ecole doctorale SJPEG  13, place Carnot CO 70026;54035;54395;Nancy;UU54701;Nancy;D054;Meurthe-et-Moselle;A12;Nancy-Metz;R44;Alsace - Champagne-Ardenne - Lorraine;NANCY CEDEX;48.6936341, 6.1763652;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=79;R41;Lorraine
88;;Droit et Science Politique Pierre Couvrat;Sciences humaines et sociales;Sciences de la société;Sciences de la société;Poitou-Charentes>Poitiers>Vienne>Poitiers;"Université de Poitiers;Université de La Rochelle;Université d'Angers;Université du Maine;Université de Limoges";"EA 1228;EA 1230;EA 2623;EA 3170;EA 3177;EA 3320;EA 3818;EA 4227;EA 4237;EA 4333;EA 4337;FRE 3500";1992;2012;6.0;0860856N;Université de Poitiers;"0171463Y;0490970N;0720916E;0870669E";"Université de La Rochelle;Université d'Angers;Université du Maine;Université de Limoges";;;"0860856N;0171463Y;0490970N;0720916E;0870669E";;"199213395Z;199213396A;199814145N;200014469G;200014476P;200014617T;200415078B;200815464D;200815474P;200815562K;200815566P;201220418W";Monsieur;Eric;GOJOSSO;05 49 45 42 18;ed-droit@univ-poitiers.fr;http://droit.ed.univ-poitiers.fr/;Ecole doctorale Droit et Science Politique Pierre Couvrat TSA 81100 Hôtel Gracient 15bis rue sainte Opportune;86073;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;Poitiers cedex 9;46.5836083, 0.3436885;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=88;R54;Poitou-Charentes
92;VAS;Vie - Agro - Santé;Sciences du vivant;"Biologie, médecine,santé;Sciences agronomiques et écologiques";Biologie, médecine,santé;Bretagne>Rennes>Ille-et-Vilaine>Rennes;"Université de Rennes 1;Université de Rennes 2;Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage";"EA 1254;EA 1274;EA 4712;EA 7265;UMR 6290;UMR 6552;UMR 6553;UMR 7139;UMR_A 1349;UMR_S 1085;UMR_S 1099;UMR_S 917;UMR_S 936;UMR_S 991;UPR 4301";1992;2012;5.0;0350936C;Université de Rennes 1;"0350937D;0352692L";"Université de Rennes 2;Institut supérieur des sciences agronomiques, agroalimentaires, horticoles et du paysage";;;"0350936C;0350937D;0352692L";Sciences agronomiques et écologiques;"199213399D;199213404J;201220290G;200518339S;201220436R;199612338H;199612339J;200312524E;201220379D;201220167Y;200416333R;200816540Y;200415148C;201019274L;196717612S";Madame;Nathalie;THERET;02 23 23 51 19;vas@univ-rennes1.fr,francoise.prigent@agrocampus-ouest.fr;http://www.vas.univ-rennes1.fr;Université de Rennes 1 ED VAS Bât. 1 - Espace Doctoral Campus de Beaulieu 263 Avenue du général Leclerc;35042;35238;Rennes;UU35701;Rennes;D035;Ille-et-Vilaine;A14;Rennes;R53;Bretagne;RENNES;48.1144031, -1.6366721;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=92;R53;Bretagne
104;SMRE;Sciences de la Matière, du Rayonnement et de l'Environnement;Pluridisciplinaire Sciences exactes - Sciences du vivant;"Chimie;Physique;Sciences de la terre et de l'univers, espace;Sciences pour l'ingénieur;Sciences agronomiques et écologiques";Chimie;Nord-Pas-de-Calais>Lille>Nord>Lille (partie française)>Villeneuve-d'Ascq;"Université Lille 1 - Sciences technologies;École nat. sup. des Mines de Douai;École centrale de Lille;Université de Valenciennes et du Hainaut-Cambrésis;Université du Littoral Côte d'Opale;Université d'Artois;Institut Mines Telecom;École nat. sup. de chimie de Lille;École nat. sup. des arts et industries textiles";"EA 1026;EA 2081;EA 2443;EA 2461;EA 4476;EA 4478;EA 4479;EA 4485;EA 4492;EA 4493;UMR 8163;UMR 8187;UMR 8207;UMR 8516;UMR 8518;UMR 8520;UMR 8522;UMR 8523;UMR 8576;USR 3290";1992;2015;5.0;0593559Y;Université Lille 1 - Sciences technologies;"0590342B;0590349J;0593279U;0595964M;0623957P;07556";"École nat. sup. des Mines de Douai;École centrale de Lille;Université de Valenciennes et du Hainaut-Cambrésis;Université du Littoral Côte d'Opale;Université d'Artois;Institut Mines Telecom";"0590311T;0590338X";"École nat. sup. de chimie de Lille;École nat. sup. des arts et industries textiles";"0593559Y;0590342B;0590349J;0593279U;0595964M;0623957P;07556;0590311T;0590338X";"Physique;Sciences de la terre et de l'univers, espace;Sciences pour l'ingénieur;Sciences agronomiques et écologiques";"199213309F;199612393T;199813974C;199813992X;201019075V;201019037D;201019038E;200616430M;201019040G;201019039F;200612815H;200812834V;196317940R;199812845A;199812847C;199812849E;199812850F;199812851G;199812904P;201019672U";;;;03 20 43 40 34;sec-edsmre@pres-ulnf.fr,dir-edsmre@pres-ulnf.fr,;http://edsmre.univ-lille1.fr;Cite Scientifique Batiment SN2, Bureau 105;59655;59009;Villeneuve-d'Ascq;UU59702;Lille (partie française);D059;Nord;A09;Lille;R32;Nord-Pas-de-Calais - Picardie;VILLENEUVE D'ASCQ CEDEX;50.6087185, 3.1442786;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=104;R31;Nord-Pas-de-Calais
105;;Terre, Univers, Environnement;Sciences exactes;"Sciences de la terre et de l'univers, espace;Sciences de la société";Sciences de la terre et de l'univers, espace;Rhône-Alpes>Grenoble>Isère>Grenoble>Saint-Martin-d'Hères;COMUE Université Grenoble Alpes;"UM 103;UMR 5194;UMR 5216;UMR 5276;UMR 5519";1992;2014;2.0;0383412C;COMUE Université Grenoble Alpes;;;;;0383412C;Sciences de la société;"201119454C;200311865N;200711885T;201119400U;199511963E";Monsieur;Guy;DELRIEU;04 76 51 41 07;tuedir@ujf-grenoble.fr,christine.bigot@univ-grenoble-alpes.fr;http://ed-tue.osug.fr/;OSUG C (ISTerre), 1381 rue de la Piscine Domaine Universitaire CS40700;38400;38421;Saint-Martin-d'Hères;UU38701;Grenoble;D038;Isère;A08;Grenoble;R84;Auvergne - Rhône-Alpes;ST MARTIN D'HERES;45.192838, 5.761048;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=105;R82;Rhône-Alpes
113;;Histoire;Sciences humaines et sociales;Sciences humaines et humanités;Sciences humaines et humanités;Île-de-France>Paris>Paris  5e  Arrondissement;"Université Paris 1 - Panthéon Sorbonne;École nationale des Chartes";"EA 3550;EA 3624;UMR 7041;UMR 8058;UMR 8066;UMR 8138;UMR 8167;UMR 8168;UMR 8210;UMR 8533;UMR 8589";1992;2014;5.0;0751717J;Université Paris 1 - Panthéon Sorbonne;0753478Y;École nationale des Chartes;;;"0751717J;0753478Y";;"200214825K;200214898P;199912442H;200212725C;200012730S;200212794C;200612819M;200612820N;201019112K;199812861T;199812917D";;;;01 40 46 33 42;ecole.doctorale113@univ-paris1.fr;http://www.univ-paris1.fr/ecoles-doctorales/ed-histoire/;UFR D'HISTOIRE bureau G309, 17 rue de la Sorbonne;75005;75105;Paris  5e  Arrondissement;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;PARIS;48.8488341, 2.3430945;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=113;R11;Île-de-France
130;EDITE;Informatique, télécommunications et électronique de Paris;Sciences exactes;Sciences et technologies de l'information et de la communication;Sciences et technologies de l'information et de la communication;Île-de-France>Paris>Paris  5e  Arrondissement;"Université Pierre et Marie Curie;Conservatoire national des arts et métiers (CNAM);Télécom ParisTech;Télécom SudParis;Université Paris Descartes;COMUE Université Sorbonne Paris Cité";"EA 4436;EA 4629;UMR 7084;UMR 7606";1992;2014;5.0;0751722P;Université Pierre et Marie Curie;"0753471R;0753510H;0911781S";"Conservatoire national des arts et métiers (CNAM);Télécom ParisTech;Télécom SudParis";"0751721N;0755598C";"Université Paris Descartes;COMUE Université Sorbonne Paris Cité";"0751722P;0753471R;0753510H;0911781S;0751721N;0755598C";;"200919194D;201119480F;200512472P;199712651U";Monsieur;Bertrand;GRANADO;01 44 27 53 93;secretariat@edite-de-paris.fr;http://edite-de-paris.fr;Université Pierre et Marie Curie EDITE ED130 Tour 24-25 bureau 210 case 168, 4 place Jussieu;75252;75105;Paris  5e  Arrondissement;UU00851;Paris;D075;Paris;A01;Paris;R11;Île-de-France;PARIS CEDEX 05;48.8471036, 2.357499;http://data.enseignementsup-recherche.gouv.fr/explore/dataset/fr-esr-structures-recherche-publiques-actives/table/?disjunctive.numero_national_de_structure&disjunctive.tutelles&disjunctive.comue&disjunctive.tag&refine.numero_d_ecole_doctorale=130;R11;Île-de-France
